orden,id_enunciado,banda,repeticion,timestamp,id_peticion,ms_stt,ms_llm,ms_tts,ms_total_servidor,ms_total_cliente
82,E10,larga,3,2026-09-02T04:01:30.870182+00:00,9ef27ea9,510.25,1575.97,1293.55,3380.34,3402.28
84,E09,larga,9,2026-09-02T04:01:39.391620+00:00,ca5a956e,466.67,1146.43,1192.68,2806.16,2820.42
85,E08,larga,10,2026-09-02T04:01:44.959542+00:00,414016e3,539.32,1559.33,1446.66,3545.77,3565.64
86,E05,media,1,2026-09-02T04:01:50.290443+00:00,0f8ad734,481.12,1548.65,1281.25,3311.43,3328.71
88,E06,media,8,2026-09-02T04:01:59.042236+00:00,6e88d69a,466.46,1327.13,1486.5,3280.39,3306.02
89,E02,corta,2,2026-09-02T04:02:04.200376+00:00,f9468092,385.6,1509.37,1241.58,3137.78,3155.9
90,E10,larga,7,2026-09-02T04:02:08.938951+00:00,69b38bf1,505.08,1106.86,1103.98,2718.57,2737.95
92,E04,media,2,2026-09-02T04:02:17.188408+00:00,cf7c3035,486.84,1055.75,1164.63,2707.68,2723.61
93,E08,larga,2,2026-09-02T04:02:22.731453+00:00,75959f2f,492.98,1592.15,1428.03,3513.76,3540.74
94,E09,larga,3,2026-09-02T04:02:28.280933+00:00,89cf54a4,521.18,1671.7,1317.29,3510.72,3547.21
95,E02,corta,4,2026-09-02T04:02:33.154471+00:00,5a8c59c9,365.16,1187.04,1297.21,2849.83,2871.29
96,E06,media,4,2026-09-02T04:02:38.773956+00:00,c8357dae,528.51,1551.3,1521.14,3601.37,3619.73
97,E05,media,10,2026-09-02T04:02:43.862997+00:00,a56ec3c3,453.89,1332.63,1278.48,3065.59,3086.76
98,E04,media,1,2026-09-02T04:02:48.655311+00:00,0980ef8e,456.73,1121.06,1195.47,2773.68,2790.08
99,E05,media,2,2026-09-02T04:02:53.691712+00:00,dd91b981,431.91,1331.07,1256.31,3019.68,3034.22
