orden,id_enunciado,banda,repeticion,timestamp,id_peticion,ms_stt,ms_llm,ms_tts,ms_total_servidor,ms_total_cliente
53,E03,corta,1,2026-09-02T03:23:01.767023+00:00,69d54ec3,396.27,816.89,1154.74,2368.19,2383.04
54,E02,corta,6,2026-09-02T03:23:07.178553+00:00,e941838f,391.07,1529.86,1325.21,3246.44,3409.9
56,E09,larga,4,2026-09-02T03:23:16.114576+00:00,cd7bbce5,544.34,1237.81,1339.77,3122.52,3188.63
58,E09,larga,7,2026-09-02T03:23:24.867519+00:00,f9436471,490.29,1379.12,1438.7,3308.47,3327.15
59,E03,corta,3,2026-09-02T03:23:28.981510+00:00,f636c642,403.52,651.07,1022.58,2077.52,2111.77
60,E03,corta,7,2026-09-02T03:23:33.583193+00:00,8931a427,364.37,965.55,1245.82,2576.05,2599.4
62,E06,media,1,2026-09-02T03:23:42.286583+00:00,901d7a7b,439.16,1395.02,1325.15,3159.63,3183.22
63,E07,media,1,2026-09-02T03:23:47.149231+00:00,100b59f8,505.21,1146.62,1193.18,2845.4,2860.28
64,E08,larga,7,2026-09-02T03:23:51.962872+00:00,9a10750d,498.46,1142.8,1145.48,2787.22,2811.4
65,E03,corta,9,2026-09-02T03:23:56.205210+00:00,e36ae87a,352.78,870.18,996.59,2219.85,2240.14
66,E10,larga,2,2026-09-02T03:24:01.830044+00:00,bd30b9cd,528.65,1728.93,1342.0,3600.18,3622.53
67,E10,larga,8,2026-09-02T03:24:06.628501+00:00,9e2ac8e6,492.83,1192.97,1098.08,2784.4,2798.19
68,E04,media,5,2026-09-02T03:24:11.592947+00:00,16cfbf44,477.03,1296.38,1165.62,2939.36,2961.68
69,E01,corta,10,2026-09-02T03:24:16.418786+00:00,69941639,347.39,1220.7,1231.89,2800.32,2823.48
70,E01,corta,3,2026-09-02T03:24:21.014542+00:00,37e8a9ee,350.71,1097.02,1127.74,2575.78,2593.42
72,E06,media,10,2026-09-02T03:24:29.253543+00:00,dea9128d,470.67,1460.26,1352.15,3283.53,3300.23
74,E04,media,10,2026-09-02T03:24:37.755515+00:00,ba2d6310,497.5,1154.7,1187.71,2840.28,2857.29
75,E04,media,6,2026-09-02T03:24:42.961799+00:00,d593457e,466.7,1296.21,1353.25,3116.49,3203.89
76,E10,larga,9,2026-09-02T03:24:47.779707+00:00,07e31725,485.38,1053.58,1233.49,2772.98,2815.55
77,E06,media,3,2026-09-02T03:24:53.440314+00:00,5220a95b,485.23,1593.08,1560.93,3639.59,3658.35
78,E02,corta,8,2026-09-02T03:24:58.398767+00:00,26318dc6,355.31,1404.2,1178.56,2938.44,2956.16
79,E05,media,9,2026-09-02T03:25:03.980298+00:00,075c3f29,440.56,1586.75,1534.01,3561.71,3579.12
80,E08,larga,8,2026-09-02T03:25:09.803510+00:00,d4b2f1a5,517.32,1873.79,1410.0,3801.65,3820.75
81,E05,media,7,2026-09-02T03:25:15.415814+00:00,f7e0e770,490.2,1738.3,1362.79,3591.62,3609.81
82,E10,larga,3,2026-09-02T03:25:20.164268+00:00,4ee4e53d,536.12,1070.72,1119.68,2727.08,2746.2
83,E08,larga,3,2026-09-02T03:25:25.847527+00:00,c0415d19,563.53,1760.47,1339.52,3663.97,3681.03
84,E09,larga,9,2026-09-02T03:25:30.722334+00:00,5334ff20,482.81,1258.49,1113.6,2855.33,2872.65
85,E08,larga,10,2026-09-02T03:25:36.112869+00:00,d694bcda,500.4,1519.75,1352.11,3372.7,3388.92
86,E05,media,1,2026-09-02T03:25:41.179357+00:00,92877b81,455.18,1371.51,1221.78,3048.97,3064.13
87,E05,media,6,2026-09-02T03:25:46.519391+00:00,7baf72f5,544.85,1366.21,1406.5,3317.92,3339.27
88,E06,media,8,2026-09-02T03:25:51.769509+00:00,13dc11ec,487.12,1373.01,1355.55,3216.01,3247.87
89,E02,corta,2,2026-09-02T03:25:56.348183+00:00,a49d2d27,358.11,1080.47,1125.08,2563.95,2576.51
90,E10,larga,7,2026-09-02T03:26:01.376228+00:00,e2a21e5c,574.55,1244.93,1189.97,3010.02,3025.68
92,E04,media,2,2026-09-02T03:26:10.002483+00:00,6da5d01d,459.32,1480.25,1313.93,3253.92,3269.48
93,E08,larga,2,2026-09-02T03:26:15.640124+00:00,8894b8e1,515.56,1764.59,1331.73,3612.39,3635.43
94,E09,larga,3,2026-09-02T03:26:21.301856+00:00,45b4443a,526.33,1626.74,1474.13,3627.67,3659.36
95,E02,corta,4,2026-09-02T03:26:26.410047+00:00,8b064bfa,365.28,1454.87,1267.25,3087.75,3105.99
96,E06,media,4,2026-09-02T03:26:32.218948+00:00,d8a90fc1,452.56,1878.95,1450.23,3782.14,3806.7
97,E05,media,10,2026-09-02T03:26:37.073546+00:00,a49b78c1,435.49,1171.74,1233.16,2840.73,2853.98
98,E04,media,1,2026-09-02T03:26:42.203138+00:00,3bb9c7a3,440.72,1446.25,1224.7,3112.23,3127.41
99,E05,media,2,2026-09-02T03:26:47.447097+00:00,ee6a22f2,437.89,1417.48,1368.83,3224.58,3241.78
100,E02,corta,9,2026-09-02T03:26:52.483354+00:00,38e79b98,337.75,1427.66,1247.24,3012.97,3033.91
